id,name,num,city_id
10001,Средец,1,1000
10002,Красно село,2,1000
10003,Възраждане,3,1000
10004,Оборище,4,1000
10005,Сердика,5,1000
10006,Подуяне,6,1000
10007,Слатина,7,1000
10008,Изгрев,8,1000
10009,Лозенец,9,1000
100010,Триадица,10,1000
100011,Красна поляна,11,1000
100012,Илинден,12,1000
100013,Надежда,13,1000
100014,Искър,14,1000
100015,Младост,15,1000
100016,Студентски,16,1000
100017,Витоша,17,1000
100018,Овча купел,18,1000
100019,Люлин,19,1000
100020,Връбница,20,1000
100021,Нови Искър,21,1000
100022,Кремиковци,22,1000
100023,Панчарево,23,1000
100024,Банкя,24,1000
